충전소 아이디,충전소명,시도,위도,경도
8119,서울직할(공용),서울특별시 중구 남대문로 92,37.565199,126.983339
8118,서울전력관리처(공용),서울특별시 중구 남산동3가 11-10,37.5607325,126.9877962
5631,버티공영주차장,서울특별시 중구 신당동 432-1693,37.5490628,127.0062466
5167,SK렌터카 본사,서울특별시 종로구 관철동 7-3,37.5694743,126.987209
5063,서울대학교병원 암병동 주차장,서울특별시 종로구 연건동 28-21,37.578789,126.9976056
5062,서울대학교병원 대한외래병동주차장,서울특별시 종로구 연건동 28-21,37.5787913,126.9975631
5060,서울대학교병원 장례식장주차장,서울특별시 종로구 연건동 28-2,37.5800436,126.9969348
5059,약수동공영주차장,서울특별시 중구 신당동 349-234,37.5521571,127.0131473
5058,묵정공원 공영주차장,서울특별시 중구 충무로5가 21,37.5639159,127.0002857
5057,서울역(한화역사),서울특별시 중구 봉래동2가 122,37.5546558,126.971523
4793,전국은행연합회,서울특별시 중구 명동1가 4-1,37.5649442,126.985558
3993,국립중앙극장,서울특별시 중구 장충동2가 산 14-67,37.552871,127.0001308
3849,신세계 본점,서울특별시 중구 소공로 63 (충무로1가_신세계백화점건물),37.560914,126.9810816
3068,남산케이블카,서울특별시 중구 회현동1가 산 1-19,37.556417,126.984586
3005,LIG서울역리가아파트,서울특별시 중구 만리동1가 231,37.555975,126.966934
2947,한국관광공사 옆 노상 공영주차장,서울특별시 중구 다동 85-4,37.568226,126.981962
1373,무악현대 아파트,서울특별시 종로구 무악동 통일로 246-20,37.575074,126.959929
1015,효성주얼리시티,서울특별시 종로구 인의동 종로 183,37.571415,126.998657
1013,창신쌍용2단지 아파트,서울특별시 종로구 창신동 낙산길 198,37.580271,127.011826
1012,창신두산 아파트,서울특별시 종로구 창신동 지봉로5길 7,37.574219,127.014312
1011,인왕산2차아이파크,서울특별시 종로구 무악동 통일로 246-20,37.575769,126.959533
1009,덕수궁 롯데캐슬,서울특별시 중구 순화동 서소문로9길 28,37.563699,126.97025
1008,남산센트럴자이,서울특별시 중구 충무로4가 퇴계로 235,37.56247,126.997827
1007,광화문스페이스본 아파트,서울특별시 종로구 사직동 사직로8길 4,37.57424,126.96871
830,종로센트레빌,서울특별시 종로구 숭인동 동망산길 47,37.580628,127.016222
829,명륜아남1차 아파트,서울특별시 종로구 명륜2가 창경궁로 265,37.585634,126.999562
828,롯데캐슬베네치아,서울특별시 중구 황학동 청계천로 400,37.571042,127.020992
827,동성빌라,서울특별시 종로구 구기동 비봉2길 32,37.611634,126.958662
826,경희궁의아침3단지 아파트,서울특별시 종로구 내수동 사직로8길 34,37.573369,126.972271
596,쌍용남산플래티넘 아파트,서울특별시 중구 소공로 46,37.5594133,126.9832222
595,남산타운 아파트,서울특별시 중구 다산로 32 1동_21동_31동,37.546659,127.006507
594,남산롯데캐슬아이리스 아파트,서울특별시 중구 소공로 35,37.55822,126.982114
283,국립현대미술관 서울관,서울특별시 종로구 소격동 165-10,37.5782017,126.9801122
282,동대문디자인플라자,서울특별시 중구 을지로7가 2-1,37.5662152,127.0101559
281,석탄회관,서울특별시 종로구 수송동 80-6,37.57282,126.980218
14,서울직할,서울특별시 중구 남대문로 92,37.565199,126.983339
11,서울전력관리처,서울특별시 중구 남산동3가 11-10,37.5607325,126.9877962
4808,현대백화점 미아점,서울특별시 성북구 동소문로 315 (길음동_현대백화점미아점),37.608453,127.0287466
4143,북서울꿈의숲,서울특별시 강북구 번동 90,37.6215438,127.0412916
3999,래미안아트리지,서울특별시 성북구 석관동 410,37.6060427,127.0636379
3815,강북문화예술회관,서울특별시 강북구 수유동 360-10,37.6407909,127.0134276
3602,돈암현대,서울특별시 성북구 돈암동 1-3,37.6039345,127.0285721
3500,강북성북지사,서울특별시 강북구 미아동 190-1,37.630923,127.024819
3353,성북동아에코빌아파트,서울특별시 성북구 상월곡동 101,37.607443,127.046239
3134,삼선힐스테이트,서울특별시 성북구 삼선동2가 420,37.5821301,127.0134865
3069,국민대학교,서울특별시 성북구 정릉동 861-1,37.610015,126.996915
3019,미아한일유앤아이APT,서울특별시 강북구 미아동 1355,37.614026,127.0365
2910,길음래미안3차,서울특별시 성북구 길음동 1283,37.606454,127.022261
2761,종암삼성래미안,서울특별시 성북구 종암동 80,37.601396,127.029801
2724,돈암더샵아파트,서울특별시 성북구 돈암동 603,37.597877,127.010327
2667,대림 샹그레빌,서울특별시 성북구 하월곡동 224,37.596349,127.041207
2383,해모로아파트,서울특별시 강북구 번동 139,37.626598,127.037899
2382,삼선 SK뷰 아파트,서울특별시 성북구 삼선동3가 116,37.58777,127.011914
2289,정릉풍림아이원,서울특별시 성북구 정릉동 239,37.618782,127.007279
2288,브라운스톤돈암아파트,서울특별시 성북구 돈암동 636,37.597049,127.018558
1374,삼선푸르지오 아파트,서울특별시 성북구 삼선동2가 425,37.58342,127.013815
1019,정릉e편한세상 아파트,서울특별시 성북구 정릉동 1028,37.614892,127.010221
1018,석관두산 아파트,서울특별시 성북구 석관동 10,37.612336,127.069684
1017,보문하우스토리,서울특별시 성북구 보문동4가 116,37.584386,127.020844
1016,래미안미아1차 아파트,서울특별시 강북구 미아동 797,37.625668,127.018992
836,한신휴아파트,서울특별시 성북구 동소문동7가 23,37.595328,127.014314
835,정릉2차 e편한세상 아파트,서울특별시 성북구 정릉동 1035,37.600129,127.019378
834,미아동부센트레빌,서울특별시 강북구 미아동 474,37.613741,127.025894
833,동일하이빌뉴시티 아파트,서울특별시 성북구 하월곡동 88-387,37.604609,127.031071
832,돈암일신건영휴먼빌 아파트,서울특별시 성북구 돈암동 524,37.600504,127.011848
831,꿈의숲대명루첸 아파트,서울특별시 성북구 장위동 317,37.620405,127.047524
597,금호어울림 센터힐 아파트,서울특별시 성북구 돈암동 643,37.600602,127.022399
214,고려대학교(자연과학),서울특별시 성북구 안암동5가 126-16 (고려대학교안암캠퍼스),37.5835884,127.026351
213,고려대학교,서울특별시 성북구 안암동5가 1-2 (고려대학교안암캠퍼스),37.588985,127.033897
10,강북성북지사(공용),서울특별시 강북구 미아동 190-1,37.630923,127.024819
8113,광진성동지사(공용),서울특별시 성동구 마장로27길 13,37.567845,127.034026
6822,한전성동전력지사,서울 성동구 마장동 487-1,37.5678984,127.0394149
4810,금호스포츠센터,서울특별시 성동구 금호동4가 56,37.5457446,127.0251919
4801,뚝섬유수지 공영주차장,서울특별시 성동구 성수동1가 685-63,37.5506009,127.0414385
4794,서울숲SK V1 타워,서울특별시 성동구 성수동2가 284-55,37.5470626,127.0517144
4151,구의삼성쉐르빌상가,서울특별시 광진구 구의동 199-18,37.5399384,127.0946074
4150,서울숲M타워,서울특별시 성동구 성수동1가 656-334,37.5441388,127.0465722
3998,구의삼성쉐르빌아파트,서울특별시 광진구 구의동 199-18,37.539954,127.0948846
3337,e편한세상 금호파크힐스,서울특별시 성동구 금호동1가 1823,37.554285,127.0226915
3083,한양대학교,서울특별시 성동구 사근동 110,37.557023,127.047167
3021,센트라스 3획지,서울 성동구 하왕십리동 1070,37.5654699,127.0240723
3006,센트라스 1획지,서울 성동구 하왕십리동 1070,37.5667876,127.0238633
2996,센트라스 6획지,서울 성동구 하왕십리동 1070,37.5651645,127.0296835
2970,센트라스 2획지,서울 성동구 하왕십리동 1070,37.5661627,127.0282351
2539,서울 새활용플라자,서울특별시 성동구 자동차시장길 49,37.558589,127.058496
2228,장로회신학대학교,서울특별시 광진구 광장동 353,37.54945,127.104825
1850,성수2차대우 아파트,서울특별시 성동구 성수동1가 상원6길 16,37.54828,127.050422
983,광진하우스토리한강,서울특별시 광진구 자양동 구의강변로1길 44,37.530042,127.09034
795,행당한진타운,서울특별시 성동구 행당동 행당로 82,37.555215,127.028245
793,서울숲푸르지오 아파트,서울특별시 성동구 금호동4가 금호로 15,37.545144,127.022683
792,리버그린동아 아파트,서울특별시 성동구 응봉동 고산자로4길 34,37.55332,127.037354
791,금호자이1차,서울특별시 성동구 금호동2가 금호로 117,37.55235,127.023167
583,성수동아이파크 아파트,서울특별시 성동구 성수동2가 성수이로 137,37.546956,127.057287
581,광장힐스테이트 아파트,서울특별시 광진구 광장동 아차산로 537-17,37.543324,127.100043
289,강변테크노마트 주차장,서울특별시 광진구 구의동 546-4,37.5356997,127.0957647
288,광진구청 주차장,서울특별시 광진구 자양동 777,37.5383979,127.0824286
216,뚝도충전소,서울특별시 광진구 자양3동 510-8,37.53631,127.069429
15,광진성동지사,서울특별시 성동구 마장로27길 13,37.567845,127.034026
8115,노원도봉지사(공용),서울특별시 노원구 상계동 700,37.6539179,127.0556666
8114,인재개발원(공용),서울특별시 노원구 노원길 130,37.6351988,127.0873634
7177,도봉구 보건소,서울 도봉구 쌍문동 565,37.657899,127.038753
5760,인재개발원(공용),서울특별시 노원구 공릉동 170-2,37.6316022,127.0840149
5625,서울북부지검,서울특별시 도봉구 도봉동 626-20,37.6758071,127.04649
4807,도깨비시장 공영주차장,서울특별시 도봉구 방학동 632-1,37.6645694,127.0339789
4803,방학3동 주민센터,서울특별시 도봉구 방학동 498-16,37.6591043,127.0280096
4802,창3동 주민센터,서울특별시 도봉구 창동 462-2,37.6380506,127.0429259
4146,한국원자력의학원,서울특별시 노원구 공릉동 215-4,37.6283982,127.0822702
3994,북서울시립미술관,서울특별시 노원구 중계동 508,37.6408393,127.0667834
3816,서울과학기술대학교,서울특별시 노원구 공릉동 172,37.6330077,127.0775419
3232,상계주공15단지,서울특별시 노원구 상계동 652,37.669436,127.054247
3131,창동주공18단지아파트,서울특별시 도봉구 노해로70길 126 (창동_주공18단지아파트),37.64652,127.0527
3130,창동대우아파트,서울특별시 도봉구 덕릉로63가길 43 (창동_창동대우아파트),37.642224,127.037342
3129,쌍문미라보아파트,서울특별시 도봉구 시루봉로2길 62 (쌍문동_쌍문미라보아파트),37.655394,127.031444
3079,한일병원,서울특별시 도봉구 쌍문동 388-1,37.645987,127.027378
3067,삼육대학교,서울특별시 노원구 공릉동 26-21,37.643011,127.108412
2995,대상타운현대아파트,서울특별시 도봉구 방학동 720-1,37.664667,127.048718
2990,노원프레미어스엠코,서울특별시 노원구 공릉동 670-20,37.618445,127.076387
2967,상계주공16단지아파트,서울특별시 노원구 상계동 624,37.6687833,127.0537251
2776,수락리버시티3단지,서울특별시 노원구 상계동 누원로 28,37.687134,127.05443
2764,중계우성3차아파트,서울특별시 노원구 중계동 덕릉로 613,37.652723,127.073245
2683,노원우성아파트,서울특별시 노원구 상계동 상계로7길 18,37.657759,127.065054
2682,중계건영3차아파트,서울특별시 노원구 노원로22길 71 (중계동_건영3차아파트),37.648587,127.074654
2640,상계동아불암아파트,서울특별시 노원구 상계동 1285,37.666731,127.079439
2622,창동3차현대아파트,서울특별시 도봉구 창동 도봉로 428,37.659689,127.045917
2540,노원구청,서울특별시 노원구 상계동 701-1,37.653754,127.056952
2380,창동2차현대아파트,서울특별시 도봉구 창동 도봉로136길 111,37.660905,127.04586
2379,방학금광포란재,서울특별시 도봉구 방학동 도봉로150바길 26,37.664732,127.045172
2378,공릉풍림아파트,서울특별시 노원구 공릉동 섬밭로 139,37.629093,127.067499
1856,현대그린 아파트,서울특별시 노원구 중계동 중계로8길 39,37.646893,127.084574
1851,공릉대동 아파트,서울특별시 노원구 공릉동 동일로175길 38,37.620056,127.072536
1360,효성하이타운,서울특별시 도봉구 방학동 방학로11길 33,37.661264,127.033065
1359,중계경남롯데상아 아파트,서울특별시 노원구 섬밭로 265 (중계동_경남_롯데_상아아파트),37.638929,127.063001
1358,쌍문염광 아파트,서울특별시 도봉구 쌍문동 우이천로30길 28,37.648687,127.026106
1357,상계동양 아파트,서울특별시 노원구 상계동 상계로5길 12,37.657129,127.064275
1356,미주동방벽운 아파트,서울특별시 노원구 상계동 1265,37.681033,127.05576
1355,도봉서원 아파트,서울특별시 도봉구 도봉동 641-1,37.672821,127.048135
1353,공릉동부 아파트,서울특별시 노원구 공릉동 공릉로 206,37.628002,127.078863
998,창동쌍용 아파트,서울특별시 도봉구 창동 마들로 551,37.659787,127.048115
996,창동대동 아파트,서울특별시 도봉구 창동 도봉로 642-30,37.661553,127.043888
995,중계센트럴파크,서울특별시 노원구 덕릉로70가길 21 (상계동_중계센트럴파크),37.643296,127.059732
994,중계삼성 아파트,서울특별시 노원구 중계동 593,37.648831,127.083529
993,월계청백1단지 아파트,서울특별시 노원구 월계동 초안산로 89,37.634786,127.052612
989,방학명품ESA2단지,서울특별시 도봉구 방학동 716-5,37.666546,127.045881
988,방학5단지 신동아 아파트,서울특별시 도봉구 방학동 방학로12길 53,37.663214,127.028786
986,동진신안 아파트,서울특별시 노원구 중계동 364,37.650163,127.078652
985,동아청솔아파트,서울특별시 도봉구 창동 808,37.657032,127.048139
807,화랑타운,서울특별시 노원구 공릉동 화랑로51길 17,37.623527,127.088218
806,창동한신 아파트,서울특별시 도봉구 창동 덕릉로60바길 21,37.638969,127.041149
805,중계주공4단지 아파트,서울특별시 노원구 중계동 덕릉로76길 29,37.656063,127.076178
803,서울가든 아파트,서울특별시 도봉구 도봉동 도봉산길 35,37.686862,127.041
801,방학우성1차 아파트,서울특별시 도봉구 방학동 해등로 286-5,37.657365,127.024179
800,롯데우성 아파트,서울특별시 노원구 중계동 361-1,37.646994,127.073504
798,동신 아파트,서울특별시 노원구 공릉동 공릉로 213,37.628447,127.076946
797,공릉동현대성우 아파트,서울특별시 노원구 공릉동 공릉로27길 110,37.626604,127.077431
796,공릉2단지라이프 아파트,서울특별시 노원구 공릉동 708,37.630351,127.066663
590,창동한승미메이드 아파트,서울특별시 도봉구 덕릉로 60길 164-13,37.632965,127.04291
589,중계현대2차 아파트,서울특별시 노원구 한글비석로 15길 51,37.656072,127.073635
587,쌍문한양6차 아파트,서울특별시 도봉구 시루봉로 58,37.656002,127.02944
586,북한산코오롱하늘채 아파트,서울특별시 도봉구 우이천로 367,37.648403,127.02286
585,방학극동 아파트,서울특별시 도봉구 시루봉로 11길 25-8,37.66396,127.02672
584,도봉현대성우 아파트,서울특별시 도봉구 마들로 735-8,37.67628,127.047334
104,노원도봉지사,서울특별시 노원구 상계동 700,37.6539179,127.0556666
36,인재개발원,서울특별시 노원구 노원길 130,37.6351988,127.0873634
5815,장영당길 공영주차장,서울특별시 동대문구 답십리동 484-45,37.5687281,127.0530157
5814,동답 공영주차장,서울특별시 동대문구 답십리동 2-283,37.5693685,127.063534
5805,동대문중랑지사(공용),서울특별시 중랑구 묵동 181-4,37.6074049,127.0793415
5563,서울의료원,서울특별시 중랑구 신내동 316,37.6128812,127.099434
4814,청량리역사(한화역사),서울특별시 동대문구 왕산로 214 (전농동_청량리역_롯데백화점),37.5808088,127.04803
4154,태릉시장 중화공영주차장,서울특별시 중랑구 중화동 73-6,37.597533,127.074776
4152,우림골목시장 주차장,서울특별시 중랑구 망우로62길 52-4 (망우동_우림시장 편의시설),37.5967545,127.0982745
4145,신내테크노타운,서울특별시 중랑구 상봉동 485,37.6040022,127.0877351
3885,신내건영1차 아파트,서울특별시 중랑구 상봉동 1,37.604091,127.093513
3315,힐스테이트청계,서울특별시 동대문구 답십리동 465-18,37.571543,127.045904
3020,동일스위트리버,서울특별시 동대문구 휘경동 366,37.587382,127.068375
2961,청솔우성,서울특별시 동대문구 답십리동 80,37.575381,127.060661
2851,신내7단지진로아파트,서울특별시 중랑구 신내동 654,37.613765,127.093248
2725,이문쌍용아파트,서울특별시 동대문구 이문동 64,37.5997835,127.0685135
2690,한일써너스빌 아파트,서울특별시 중랑구 상봉동 81-5,37.597381,127.091548
2430,답십리래미안위브2블럭,서울특별시 동대문구 답십리로 130,37.570246,127.052799
2429,답십리래미안위브1블럭,서울특별시 동대문구 답십리로 130,37.571654,127.054289
1849,휘경베스트빌현대,서울특별시 동대문구 휘경동 52,37.58138,127.07448
1350,휘경주공1단지,서울특별시 동대문구 휘경동 57,37.582369,127.071263
1349,전농sk 아파트,서울특별시 동대문구 전농동 10,37.577205,127.061375
982,신내우디안1단지,서울특별시 중랑구 신내동 816,37.6173725,127.106824
981,신내LG쌍용아파트,서울특별시 중랑구 상봉동 484,37.6037624,127.0907158
980,상봉우정 아파트,서울특별시 중랑구 상봉동 496,37.5994293,127.0886838
979,면목두원 아파트,서울특별시 중랑구 면목동 1521,37.5734234,127.0797941
978,면목두산2_3차 아파트,서울특별시 중랑구 면목동 1510,37.5805528,127.0835583
789,중랑숲리가 아파트,서울특별시 중랑구 망우동 583,37.6023596,127.1049548
788,장안힐스테이트 아파트,서울특별시 동대문구 장안동 329-2,37.5759645,127.07535
